Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/9/23,AQS,500070012,1,5.7,ug/m3 LC,24,ZAMPIERI STATE OFFICE BUILDING,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.480278,-73.214444
1/9/23,AQS,500070014,3,8.8,ug/m3 LC,37,City of Burlington Parking Lot,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.4762,-73.2106
1/10/23,AQS,500070007,3,4.1,ug/m3 LC,17,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
1/10/23,AQS,500070014,3,4.5,ug/m3 LC,19,City of Burlington Parking Lot,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.4762,-73.2106
1/11/23,AQS,500070007,3,4.9,ug/m3 LC,20,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
1/11/23,AQS,500070014,3,10.5,ug/m3 LC,44,City of Burlington Parking Lot,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.4762,-73.2106
1/12/23,AQS,500070007,1,2.6,ug/m3 LC,11,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
1/12/23,AQS,500070007,3,4,ug/m3 LC,17,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
1/12/23,AQS,500070012,1,4.4,ug/m3 LC,18,ZAMPIERI STATE OFFICE BUILDING,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.480278,-73.214444
1/12/23,AQS,500070014,3,7.1,ug/m3 LC,30,City of Burlington Parking Lot,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.4762,-73.2106
1/13/23,AQS,500070007,3,2,ug/m3 LC,8,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
1/13/23,AQS,500070014,3,4.2,ug/m3 LC,18,City of Burlington Parking Lot,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.4762,-73.2106
1/14/23,AQS,500070007,3,6.3,ug/m3 LC,26,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
1/14/23,AQS,500070014,3,5.2,ug/m3 LC,22,City of Burlington Parking Lot,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.4762,-73.2106
1/15/23,AQS,500070007,1,6.9,ug/m3 LC,29,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
1/15/23,AQS,500070007,3,8.5,ug/m3 LC,35,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
1/15/23,AQS,500070012,1,5.9,ug/m3 LC,25,ZAMPIERI STATE OFFICE BUILDING,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.480278,-73.214444
1/15/23,AQS,500070014,3,6.8,ug/m3 LC,28,City of Burlington Parking Lot,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.4762,-73.2106
1/16/23,AQS,500070007,3,7.6,ug/m3 LC,32,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
1/16/23,AQS,500070014,3,6.6,ug/m3 LC,28,City of Burlington Parking Lot,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.4762,-73.2106
1/17/23,AQS,500070007,3,3.6,ug/m3 LC,15,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
1/17/23,AQS,500070014,3,8.8,ug/m3 LC,37,City of Burlington Parking Lot,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.4762,-73.2106
1/18/23,AQS,500070007,1,2.5,ug/m3 LC,10,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
1/18/23,AQS,500070007,3,4,ug/m3 LC,17,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
1/18/23,AQS,500070012,1,6.2,ug/m3 LC,26,ZAMPIERI STATE OFFICE BUILDING,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.480278,-73.214444
1/18/23,AQS,500070014,3,7.9,ug/m3 LC,33,City of Burlington Parking Lot,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.4762,-73.2106
1/19/23,AQS,500070007,3,3.2,ug/m3 LC,13,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
1/19/23,AQS,500070014,3,5.6,ug/m3 LC,23,City of Burlington Parking Lot,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.4762,-73.2106
1/20/23,AQS,500070007,3,1.6,ug/m3 LC,7,PROCTOR MAPLE RESEARCH CTR,1,100,88101,PM2.5 - Local Conditions,15540,"Burlington-South Burlington, VT",50,Vermont,7,Chittenden,44.52839,-72.86884
